Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Conversions,Paid Leads,Paid Qualified Leads  
"Kratos Defense and Security Solutions",https://www.linkedin.com/company/kratos-defense-and-security-solutions,Very Low,,,14,,,,,  
"American Dawn®",https://www.linkedin.com/company/americandawninc,Very Low,,,14,,,,,  
"Cherokee Town and Country Club",https://www.linkedin.com/company/cherokee-town-and-country-club,Very High,,,14,,18,,,  
"Redfin",https://www.linkedin.com/company/redfin,Very Low,,,14,,,,,  
"ImageWorks Commercial Interiors",https://www.linkedin.com/company/imageworks-commercial-interiors,Very Low,,,13,,,,,  
"Gasser Bush Associates",https://www.linkedin.com/company/gasser-bush-associates,Very Low,,,13,,,,,  
"Goldberg Realty Associates",https://www.linkedin.com/company/goldberg-realty-associates,Very Low,,,13,,,,,  
"Apartment Dynamics",https://www.linkedin.com/company/apartment-dynamics,Very Low,,,13,,,,,  
"ATLFreight.com, LLC",https://www.linkedin.com/company/atlfreight,Very Low,,,13,,,,,  
"FloraCraft Corp.",https://www.linkedin.com/company/floracraft,Very Low,,,13,,,,,  
"ATMI Precast",https://www.linkedin.com/company/atmi-precast,Very Low,,,13,,,,,  
"Andgar Mechanical",https://www.linkedin.com/company/andgar-corporation,Very Low,,,13,,,,,  
"Warby Parker",https://www.linkedin.com/company/warbyparker,Very Low,,,13,,,,,  
"Prairie State Generating Company",https://www.linkedin.com/company/prairie-state-generating-company,High,,,13,,3,,,  
"Hilton Arlington National Landing",https://www.linkedin.com/company/hilton-arlington-national-landing,Very Low,,,13,,,,,  
"USI - Ultra Services Inc.",https://www.linkedin.com/company/ultra-services-inc.,Very Low,,,13,,,,,  
"DiMarco Group",https://www.linkedin.com/company/the-dimarco-group,Very Low,,,13,,,,,  
"Sertifi by Flywire",https://www.linkedin.com/company/sertifi,Very Low,,,13,,,,,  
"Wayne Homes",https://www.linkedin.com/company/wayne-homes,Very Low,,,13,,,,,  
"NYCOM",https://www.linkedin.com/company/nycom,Very Low,,,13,,,,,  
"Perez Trading Company",https://www.linkedin.com/company/pereztrading-company,Very Low,,,12,,,,,  
"That 1 Painter",https://www.linkedin.com/company/that-1-painter,High,,,12,3,3,,,  
"Catayu Management Group Inc.",https://www.linkedin.com/company/catayu-group,Very Low,,,12,,,,,  
"Forum Health",https://www.linkedin.com/company/forum-health-llc,Very Low,,,12,,,,,  
"McKinney Properties, Inc.",https://www.linkedin.com/company/mckinney-properties,Very Low,,,12,,,,,  
"Workspace Property Trust",https://www.linkedin.com/company/workspace-property-trust,Very Low,,,12,,,,,  
"BluePrint Engines",https://www.linkedin.com/company/blueprint-engines,Very Low,,,12,,,,,  
"Newcomb and Company",https://www.linkedin.com/company/newcomb-and-company,Very Low,,,12,,,,,  
"Dragados USA, Inc.",https://www.linkedin.com/company/dragados-usa-inc.,Very Low,,,12,,,,,  
"Arq",https://www.linkedin.com/company/arqinc,Very Low,,,12,,,,,  
"Coburn Supply Co.",https://www.linkedin.com/company/coburnsupply,Very Low,,,12,,,,,  
"Commercial Tool Group: Commercial Tool & Die, Inc., CG Automation & Fixture, Inc., CG Plastics, Inc.",https://www.linkedin.com/company/commercial-tool-&-die-inc.,Very Low,,,12,,,,,  
"Sherman Associates",https://www.linkedin.com/company/sherman-associates,Very High,,,12,3,13,,,  
"Robbins Sports Surfaces",https://www.linkedin.com/company/robbins-sports-surfaces,High,,,12,3,4,,,  
"Yaskawa America, Inc. - Drives & Motion Division",https://www.linkedin.com/company/yaskawaamericainc,Very Low,,,12,,,,,  
"Benjamin Moore",https://www.linkedin.com/company/benjamin-moore,Very Low,,,12,,,,,  
"Apex Dental Partners",https://www.linkedin.com/company/apex-dental-partners,Very Low,,,11,,,,,  
"Bayshore Mortgage Funding LLC",https://www.linkedin.com/company/bayshore-mortgage-funding,Very Low,,,11,,,,,  
"Gasser Chair",https://www.linkedin.com/company/gasser-chair-company-inc.,Very Low,,,11,,,,,  
"Isolatek International",https://www.linkedin.com/company/isolatek-international,Very Low,,,11,,,,,  
